Confirmed,Country,End date,Level,Place,Start date
,Algeria,2020-04-14,City,Algiers,2020-03-23
,Algeria,2020-04-14,City,Blida,2020-03-23
,Argentina,2020-04-12,National,,2020-03-19
,Australia,2020-04-24,National,,2020-03-23
,Austria,2020-04-13,National,,2020-03-16
,Belgium,2020-04-18,National,,2020-03-18
,Bolivia,2020-04-14,National,,2020-03-22
,Brazil,2020-04-08,State,Santa Catarina,2020-03-17
,Brazil,2020-04-07,State,São Paulo,2020-03-24
,Chile,2020-04-14,National,,2020-03-19
,Colombia,2020-04-13,National,,2020-03-25
,Costa Rica,2020-04-13,National,,2020-03-23
,Cuba,2020-04-19,National,,2020-03-23
,Denmark,2020-04-13,National,,2020-03-11
,Dominican Republic,2020-04-03,National,,2020-03-19
,Ecuador,2020-03-31,National,,2020-03-16
,Fiji,2020-04-10,City,Lautoka,2020-03-20
,Finland,2020-04-14,Region,Uusimaa,2020-03-27
,France,2020-04-15,National,,2020-03-17
,Germany,2020-04-03,State,Bavaria,2020-03-20
,Germany,2020-04-03,City,"Freiburg, BW",2020-03-21
,Ghana,2020-04-14,Metropolitan Area,Accra,2020-03-30
,Ghana,2020-04-14,Metropolitan Area,Kumasi,2020-03-30
,Greece,2020-04-06,National,,2020-03-23
,Honduras,2020-04-12,National,,2020-03-17
,Hungary,2020-04-11,National,,2020-03-28
,Indonesia,2020-07-25,City,Tegal,2020-03-26
,Iraq,2020-04-11,National,,2020-03-22
,Ireland,2020-04-12,National,,2020-03-12
,Italy,2020-04-12,National,,2020-03-09
,Jordan,2020-04-12,National,,2020-03-21
,Liberia,2020-04-14,County,Margibi,2020-03-23
,Liberia,2020-04-14,County,Montserrado,2020-03-23
,Libya,2020-04-20,National,,2020-03-22
,Madagascar,2020-04-12,City,Antananarivo,2020-03-23
,Madagascar,2020-04-12,City,Toamasina,2020-03-23
,Malaysia,2020-04-14,National,,2020-03-18
,Montenegro,2020-04-14,Municipality,Tuzi,2020-03-24
,Morocco,2020-04-20,National,,2020-03-19
,Nepal,2020-04-07,National,,2020-03-24
,New Zealand,2020-04-19,National,,2020-03-26
,Nigeria,2020-04-14,City,Abuja,2020-03-30
,Nigeria,2020-04-14,City,Lagos,2020-03-30
,Nigeria,2020-04-14,State,Ogun,2020-03-30
,Norway,2020-04-13,National,,2020-03-12
,Pakistan,2020-04-07,Administrative,Azad Kashmir,2020-03-24
,Pakistan,2020-04-07,Province,Balochistan,2020-03-24
,Pakistan,2020-04-10,Administrative,Gilgit-Baltistan,2020-03-22
,Pakistan,2020-04-06,Province,Punjab,2020-03-24
,Pakistan,2020-04-07,Province,Sindh,2020-03-24
,Panama,2020-04-13,National,,2020-03-25
,Papua New Guinea,2020-04-13,National,,2020-03-24
,Paraguay,2020-04-12,National,,2020-03-20
,Philippines,2020-04-15,Province,Cebu,2020-03-27
,Philippines,2020-04-14,Region,Davao Region,2020-03-19
,Philippines,2020-04-14,Island group,Luzon,2020-03-15
,Philippines,2020-04-14,Region,Soccsksargen,2020-03-23
,Poland,2020-04-12,National,,2020-03-13
,Portugal,2020-04-02,National,,2020-03-19
,Romania,2020-04-14,National,,2020-03-25
,Russia,2020-04-12,Metropolitan area,Moscow,2020-03-30
,Rwanda,2020-04-12,National,,2020-03-21
,Samoa,2020-04-09,National,,2020-03-26
,Saudi Arabia,2020-04-14,City,Jeddah,2020-03-29
,Saudi Arabia,2020-04-14,City,Mecca,2020-03-26
,Saudi Arabia,2020-04-14,City,Medina,2020-03-26
,Saudi Arabia,2020-04-14,Area,Qatif,2020-03-09
,Saudi Arabia,2020-04-14,City,Riyadh,2020-03-26
,South Africa,2020-04-16,National,,2020-03-26
,Spain,2020-04-14,National,,2020-03-14
,Tunisia,2020-04-11,National,,2020-03-22
